iter	Passed	Remaining
0	2	280
1	4	240
2	6	225
3	8	207
4	10	204
5	13	205
6	15	202
7	17	201
8	19	199
9	21	196
10	23	193
11	26	191
12	28	190
13	30	188
14	32	185
15	34	183
16	36	180
17	38	177
18	41	175
19	43	173
20	45	171
21	47	168
22	49	166
23	51	164
24	54	163
25	57	162
26	59	160
27	61	157
28	63	155
29	65	152
30	67	150
31	69	148
32	71	146
33	74	143
34	76	141
35	78	139
36	80	136
37	82	134
38	84	132
39	86	129
40	88	127
41	89	123
42	91	120
43	93	119
44	95	117
45	98	115
46	100	113
47	102	110
48	104	108
49	106	106
50	108	104
51	110	102
52	112	100
53	114	97
54	116	95
55	118	93
56	120	90
57	123	89
58	126	88
59	130	87
60	133	85
61	136	83
62	138	81
63	141	79
64	143	77
65	145	74
66	147	72
67	149	70
68	151	68
69	153	65
70	155	63
71	157	61
72	160	59
73	162	57
74	164	54
75	166	52
76	168	50
77	170	48
78	172	45
79	174	43
80	176	41
81	178	39
82	180	37
83	183	34
84	185	32
85	187	30
86	189	28
87	191	26
88	193	23
89	195	21
90	197	19
91	199	17
92	201	15
93	204	13
94	206	10
95	208	8
96	210	6
97	212	4
98	214	2
99	216	0
